,HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012 Human Development Index (HDI) value Note,2012-2013 Change in rank,Agriculture,Commodity Assistance,Economic Growth,Education,Governance,Health and Population,Humanitarian,Infrastructure,Other,Region
37,37.0,Slovakia,0.83,75.4,,11.6,,15.0,,25336.0,,0.829,,1.0,,,,,,,,,,
38,39.0,Malta,0.829,79.8,,9.9,,14.5,,27022.0,,0.827,,0.0,,,,,,,24627.0,,,Europe and Eurasia
39,40.0,United Arab Emirates,0.827,76.8,,9.1,,13.3,k,58068.0,,0.825,,0.0,,,,,,,,,,
40,41.0,Chile,0.822,80.0,,9.8,,15.1,,20804.0,,0.819,,1.0,,,,,,,,,120200.0,Western Hemisphere
41,41.0,Portugal,0.822,79.9,,8.2,,16.3,,24130.0,,0.822,,0.0,,,,,,,,,,
42,43.0,Hungary,0.818,74.6,,11.3,b,15.4,,21239.0,,0.817,,0.0,,,,,159416.0,,4882.0,,405667.0,Europe and Eurasia
43,44.0,Bahrain,0.815,76.6,,9.4,,14.4,l,32072.0,h,0.813,,0.0,,,,,849316.0,,,,,Middle East and North Africa
44,44.0,Cuba,0.815,79.3,,10.2,,14.5,,19844.0,m,0.813,,0.0,,,,,,,3475299.0,,896651.0,Western Hemisphere
45,46.0,Kuwait,0.814,74.3,,7.2,,14.6,,85820.0,g,0.813,,-2.0,,,,,,,,,,
46,47.0,Croatia,0.812,77.0,,11.0,,14.5,,19025.0,,0.812,,0.0,5123.0,,,,,,24631.0,,,Europe and Eurasia
47,48.0,Latvia,0.81,72.2,,11.5,b,15.5,,22186.0,,0.808,,0.0,,,,,,,,,,
48,49.0,Argentina,0.808,76.3,,9.8,,16.4,,17297.0,h,0.806,,0.0,338659.0,,317964.0,,,,,,226095.0,Western Hemisphere
49,50.0,Uruguay,0.79,77.2,,8.5,,15.5,,18108.0,,0.787,,2.0,,,130289.0,,59.0,,,,,Western Hemisphere
50,51.0,Bahamas,0.789,75.2,,10.9,,12.6,n,21414.0,,0.788,,0.0,,,,,,,,,,
51,51.0,Montenegro,0.789,74.8,,10.5,o,15.2,,14710.0,,0.787,,1.0,,,,,2117388.0,,,,134131.0,Europe and Eurasia
52,53.0,Belarus,0.786,69.9,,11.5,o,15.7,,16403.0,,0.785,,1.0,,,1329644.0,324972.0,5506935.0,,,,1017452.0,Europe and Eurasia
53,54.0,Romania,0.785,73.8,,10.7,,14.1,,17433.0,,0.782,,1.0,,,84682.0,,112443.0,10443.0,,510896.0,,Europe and Eurasia
54,55.0,Libya,0.784,75.3,,7.5,,16.1,,21666.0,h,0.789,,-5.0,,,10999723.0,,32089647.0,,4138057.0,,1765435.0,Middle East and North Africa
55,56.0,Oman,0.783,76.6,,6.8,,13.6,,42191.0,h,0.781,,0.0,,,,,,96443.0,,10908.0,,Middle East and North Africa
56,57.0,Russian Federation,0.778,68.0,,11.7,,14.0,,22617.0,,0.777,,0.0,,,,,,,,,,
57,58.0,Bulgaria,0.777,73.5,,10.6,b,14.3,,15402.0,,0.776,,0.0,,,,591151.0,27458.0,,24631.0,,597062.0,Europe and Eurasia
58,59.0,Barbados,0.776,75.4,,9.4,,15.4,,13604.0,,0.776,,-1.0,,,,,23846.0,,,,4629.0,Western Hemisphere
59,60.0,Palau,0.775,72.4,d,12.2,p,13.7,,12823.0,,0.773,,0.0,,,,,11586560.0,,295386.0,,2885689.0,East Asia and Oceania
60,61.0,Antigua and Barbuda,0.774,76.0,,8.9,p,13.8,,18800.0,,0.773,,-1.0,,,,,,,,,,
61,62.0,Malaysia,0.773,75.0,,9.5,,12.7,,21824.0,,0.77,,0.0,,,,,788201.0,6998.0,1305566.0,,,East Asia and Oceania
62,63.0,Mauritius,0.771,73.6,,8.5,,15.6,,16777.0,,0.769,,0.0,,,,,104106.0,,,,,Sub-Saharan Africa
63,64.0,Trinidad and Tobago,0.766,69.9,,10.8,,12.3,,25325.0,,0.765,,0.0,,,,,,,,,24631.0,Western Hemisphere
64,65.0,Lebanon,0.765,80.0,,7.9,o,13.2,,16263.0,,0.764,,0.0,3800847.0,,8148030.0,36393094.0,34384789.0,13619135.0,233403921.0,,8294659.0,Middle East and North Africa
65,65.0,Panama,0.765,77.6,,9.4,,12.4,,16379.0,,0.761,,2.0,,,,1120443.0,1145675.0,621532.0,874178.0,285095.0,1300480.0,Western Hemisphere
66,67.0,Venezuela (Bolivarian Republic of),0.764,74.6,,8.6,,14.2,,17067.0,,0.763,,-1.0,,,,,,,,,,
67,68.0,Costa Rica,0.763,79.9,,8.4,,13.5,,13012.0,,0.761,,-1.0,401114.0,,380766.0,2429476.0,1926815.0,22307.0,2155103.0,,2177982.0,Western Hemisphere
68,69.0,Turkey,0.759,75.3,,7.6,,14.4,,18391.0,,0.756,,0.0,,95666.0,,197050.0,308754.0,347932.0,93840787.0,1558337.0,373213.0,Europe and Eurasia
69,70.0,Kazakhstan,0.757,66.5,,10.4,,15.0,,19441.0,,0.755,,0.0,,,509342.0,147787.0,5457151.0,4826191.0,,1164025.0,18843307.0,South and Central Asia
70,71.0,Mexico,0.756,77.5,,8.5,,12.8,,15854.0,,0.755,,-1.0,102282.0,,6088484.0,2409833.0,182058056.0,752896.0,,1508950.0,14231352.0,Western Hemisphere
71,71.0,Seychelles,0.756,73.2,,9.4,o,11.6,,24632.0,,0.755,,-1.0,,,,,34483.0,,,,,Sub-Saharan Africa
72,73.0,Saint Kitts and Nevis,0.75,73.6,d,8.4,p,12.9,,20150.0,,0.749,,0.0,,,,,,,,,,
73,73.0,Sri Lanka,0.75,74.3,,10.8,,13.6,,9250.0,,0.745,,2.0,1251186.0,,7720269.0,,6080078.0,836905.0,419506.0,,8382330.0,South and Central Asia
74,75.0,Iran (Islamic Republic of),0.749,74.0,,7.8,,15.2,,13451.0,h,0.749,,-2.0,,,,,,,,,,
75,76.0,Azerbaijan,0.747,70.8,,11.2,o,11.8,,15725.0,,0.745,,-1.0,,,3885086.0,1411655.0,5566036.0,,,,3873570.0,Europe and Eurasia
76,77.0,Jordan,0.745,73.9,,9.9,,13.3,,11337.0,,0.744,,0.0,248040.0,24630.0,42439269.0,35129867.0,31723993.0,52444001.0,424326392.0,7484947.0,201442407.0,Middle East and North Africa
77,77.0,Serbia,0.745,74.1,,9.5,,13.6,,11301.0,,0.743,,1.0,,,7115401.0,,12829902.0,123156.0,2554430.0,,6341353.0,Europe and Eurasia
78,79.0,Brazil,0.744,73.9,,7.2,,15.2,q,14275.0,,0.742,,1.0,1800643.0,,221187.0,286300.0,272264.0,1968082.0,,2780763.0,7237708.0,Western Hemisphere
79,79.0,Georgia,0.744,74.3,,12.1,r,13.2,,6890.0,,0.741,,2.0,4578883.0,,6420747.0,38222129.0,29782082.0,4582888.0,678623.0,32990894.0,113093638.0,Europe and Eurasia
80,79.0,Grenada,0.744,72.8,,8.6,p,15.8,,10339.0,,0.743,,-1.0,,,,,,,,,,
81,82.0,Peru,0.737,74.8,,9.0,,13.1,,11280.0,,0.734,,0.0,31908154.0,147787.0,944022.0,5510550.0,40791338.0,5847410.0,4493641.0,,34934431.0,Western Hemisphere
82,83.0,Ukraine,0.734,68.5,,11.3,,15.1,,8215.0,,0.733,,0.0,,,3093750.0,2432209.0,80647930.0,22842344.0,12144045.0,809877.0,16808955.0,Europe and Eurasia
83,84.0,Belize,0.732,73.9,,9.3,,13.7,,9364.0,,0.731,,0.0,,,,86567.0,69084.0,1022373.0,,,236328.0,Western Hemisphere
84,84.0,The former Yugoslav Republic of Macedonia,0.732,75.2,,8.2,r,13.3,,11745.0,,0.73,,1.0,,,,,,,,,,
85,86.0,Bosnia and Herzegovina,0.731,76.4,,8.3,o,13.6,,9431.0,,0.729,,0.0,,,12621262.0,,24230565.0,,3137846.0,,7519314.0,Europe and Eurasia
86,87.0,Armenia,0.73,74.6,,10.8,,12.3,,7952.0,,0.728,,0.0,,147690.0,8047686.0,1476705.0,13567330.0,5499545.0,221577.0,,4751180.0,Europe and Eurasia
87,88.0,Fiji,0.724,69.8,,9.9,,15.7,,7214.0,,0.722,,0.0,,,,46322.0,492625.0,1315053.0,,,741986.0,East Asia and Oceania
88,89.0,Thailand,0.722,74.4,,7.3,,13.1,,13364.0,,0.72,,0.0,,,,2458981.0,9943206.0,11881142.0,39292116.0,,576155.0,East Asia and Oceania
